 frequency              onoise_spectrum        inoise_spectrum       
 9.660508789898261e+00  7.407350884686664e-05  3.706107504543828e-06 
 9.772372209558236e+00  7.363230890119327e-05  3.684033021302694e-06 
 9.885530946569521e+00  7.319375816797915e-05  3.662091085666347e-06 
 1.000000000000014e+01  7.275784059990767e-05  3.640280894742092e-06 
 1.011579454259912e+01  7.232454024782482e-05  3.618601650548559e-06 
 1.023292992280768e+01  7.189384126013218e-05  3.597052559985364e-06 
 1.035142166679358e+01  7.146572788218384e-05  3.575632834802951e-06 
 1.047128548050914e+01  7.104018445568832e-05  3.554341691572628e-06 
 1.059253725177304e+01  7.061719541811263e-05  3.533178351656776e-06 
 1.071519305237621e+01  7.019674530209099e-05  3.512142041179270e-06 
 1.083926914021219e+01  6.977881873483700e-05  3.491231990996054e-06 
 1.096478196143201e+01  6.936340043755953e-05  3.470447436665922e-06 
 1.109174815262417e+01  6.895047522488216e-05  3.449787618421471e-06 
 1.122018454301980e+01  6.854002800426559e-05  3.429251781140239e-06 
 1.135010815672332e+01  6.813204377543753e-05  3.408839174316024e-06 
 1.148153621496900e+01  6.772650762981806e-05  3.388549052030378e-06 
 1.161448613840360e+01  6.732340474995678e-05  3.368380672924280e-06 
 1.174897554939547e+01  6.692272040896949e-05  3.348333300169988e-06 
 1.188502227437036e+01  6.652443996997891e-05  3.328406201443062e-06 
 1.202264434617431e+01  6.612854888555913e-05  3.308598648894577e-06 
 1.216186000646386e+01  6.573503269718352e-05  3.288909919123475e-06 
 1.230268770812400e+01  6.534387703467596e-05  3.269339293149140e-06 
 1.244514611771404e+01  6.495506761566555e-05  3.249886056384089e-06 
 1.258925411794186e+01  6.456859024504465e-05  3.230549498606871e-06 
 1.273503081016681e+01  6.418443081443065e-05  3.211328913935131e-06 
 1.288249551693154e+01  6.380257530163032e-05  3.192223600798826e-06 
 1.303166778452319e+01  6.342300977010862e-05  3.173232861913615e-06 
 1.318256738556427e+01  6.304572036845979e-05  3.154356004254425e-06 
 1.333521432163345e+01  6.267069332988205e-05  3.135592339029165e-06 
 1.348962882591675e+01  6.229791497165616e-05  3.116941181652621e-06 
 1.364583136588946e+01  6.192737169462617e-05  3.098401851720504e-06 
 1.380384264602906e+01  6.155904998268447e-05  3.079973672983652e-06 
 1.396368361055960e+01  6.119293640225934e-05  3.061655973322411e-06 
 1.412537544622777e+01  6.082901760180585e-05  3.043448084721164e-06 
 1.428893958511125e+01  6.046728031130001e-05  3.025349343243017e-06 
 1.445439770745950e+01  6.010771134173560e-05  3.007359089004659e-06 
 1.462177174456741e+01  5.975029758462716e-05  2.989476666151351e-06 
 1.479108388168231e+01  5.939502601150936e-05  2.971701422832099e-06 
