 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 1.182799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594548913825e-09  1.088322730749796e-09  4.953110071723686e-09  9.501176324663603e-09 
 1.192799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594898785866e-09  1.088322614020185e-09  4.953110165940855e-09  9.501176441393213e-09 
 1.202799999999998e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594849346247e-09  1.088322706730482e-09  4.953110215380474e-09  9.501174572326077e-09 
 1.212799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908595391013652e-09  1.088322778788422e-09  4.953109673713069e-09  9.501176276624976e-09 
 1.222799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594687149602e-09  1.088322779855260e-09  4.953109933487909e-09  9.501176275558138e-09 
 1.232799999999998e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594728240864e-09  1.088322712034603e-09  4.953110336485857e-09  9.501174567021956e-09 
 1.242799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594666875021e-09  1.088322741112397e-09  4.953109953762490e-09  9.501176314301002e-09 
 1.252799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594636083679e-09  1.088322721390082e-09  4.953109984553832e-09  9.501176334023317e-09 
 1.262799999999998e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594487439561e-09  1.088322763381740e-09  4.953110133197949e-09  9.501174515674819e-09 
 1.272799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594712303092e-09  1.088322768447420e-09  4.953109908334419e-09  9.501176286965978e-09 
 1.282799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594666224500e-09  1.088322723036714e-09  4.953109954413011e-09  9.501176332376685e-09 
 1.292799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594601280790e-09  1.088322627799294e-09  4.953110019356721e-09  9.501176427614105e-09 
 1.302799999999998e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594546094899e-09  1.088322661041949e-09  4.953110074542612e-09  9.501174618014610e-09 
 1.312799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594841539991e-09  1.088322716942735e-09  4.953110223186730e-09  9.501176338470663e-09 
 1.322799999999998e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594880029168e-09  1.088322695823239e-09  4.953110184697553e-09  9.501176359590159e-09 
 1.332799999999997e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594980317869e-09  1.088322656743680e-09  4.953110084408852e-09  9.501174622312879e-09 
 1.342799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594641179429e-09  1.088322715472286e-09  4.953109979458081e-09  9.501176339941112e-09 
 1.352799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594642263632e-09  1.088322637521114e-09  4.953109978373879e-09  9.501176417892284e-09 
 1.362799999999997e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594848370465e-09  1.088322711703836e-09  4.953110216356256e-09  9.501174567352723e-09 
 1.372799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908595009266067e-09  1.088322738597132e-09  4.953110055460654e-09  9.501176316816266e-09 
 1.382799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594638360504e-09  1.088322702423320e-09  4.953109982277007e-09  9.501176352990079e-09 
 1.392799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594493402673e-09  1.088322698075076e-09  4.953110127234837e-09  9.501176357338322e-09 
 1.402799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594778656265e-09  1.088322684669086e-09  4.953110286070456e-09  9.501176370744313e-09 
 1.412799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594635324738e-09  1.088322674875691e-09  4.953109985312773e-09  9.501176380537708e-09 
 1.422799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594573416794e-09  1.088322695058792e-09  4.953110047220717e-09  9.501176360354607e-09 
 1.432799999999997e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594852815694e-09  1.088322707511447e-09  4.953110211911027e-09  9.501174571545112e-09 
 1.442799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594858887226e-09  1.088322589487570e-09  4.953110205839495e-09  9.501176465925828e-09 
 1.452799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594811724431e-09  1.088322616925508e-09  4.953110253002289e-09  9.501176438487890e-09 
 1.462799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594892931174e-09  1.088322616374090e-09  4.953110171795547e-09  9.501176439039309e-09 
 1.472799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594930227729e-09  1.088322637151808e-09  4.953110134498992e-09  9.501176418261590e-09 
 1.482799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594603449194e-09  1.088322716134666e-09  4.953110017188317e-09  9.501176339278733e-09 
 1.492799999999997e-07  1.079999996069148e+00  2.999999994705252e+00  2.908594816928602e-09  1.088322689212147e-09  4.953110247798119e-09  9.501174589844412e-09 
 1.502799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594928601425e-09  1.088322719463929e-09  4.953110136125295e-09  9.501176335949470e-09 
 1.512799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594558780064e-09  1.088322668256128e-09  4.953110061857446e-09  9.501176387157270e-09 
 1.522799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594861597731e-09  1.088322751055293e-09  4.953110203128989e-09  9.501176304358105e-09 
 1.532799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594864308237e-09  1.088322649906854e-09  4.953110200418484e-09  9.501176405506545e-09 
 1.542799999999997e-07  1.079999996069148e+00  2.999999994705251e+00  2.908594944213937e-09  1.088322687964891e-09  4.953110120512784e-09  9.501176367448507e-09 
