equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
84	6	-0x1.9648609a23daap-12	0x1.5ff9c41bba972p-2	-0x1.9648609a23d9ap-12	-0x1.9648609a23d9ap-12	0x1.0000000000000p-60	8.67361737988403547e-19	0x1.faa795ba76d70p-4	1.23694977642505810e-01	7.012101e-18	1.084202e-19
85	4	0x1.c9199271910b6p-36	-0x1.9a09a90ef3edep-8	0x1.c9199242f83d4p-36	0x1.c9199242f83d4p-36	-0x1.74c6710000000p-63	-1.57876421957255381e-19	0x1.0a7718ec91316p-7	8.13187329289059499e-03	1.941452e-17	9.474070e-20
86	13	0x1.7af0c54c6e2abp-4	0x1.896519cece5f6p+4	0x1.7af0c54c6e2abp-4	0x1.7af0c54c6e2abp-4	0x0.0p+0	0.00000000000000000e+00	0x1.270a4b0be6e98p-2	2.88125202752533394e-01	0.000000e+00	1.387779e-17
87	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
88	13	-0x1.830e03b1126c2p+4	-0x1.804f18c909b9ap+4	-0x1.830e03b1126c4p+4	-0x1.830e03b1126c4p+4	-0x1.0000000000000p-47	-7.10542735760100186e-15	0x1.04699ffe49269p+6	6.51031493885181050e+01	1.091411e-16	3.552714e-15
89	6	-0x1.1f430f35f4a2dp-15	0x1.b7a8ca860cc3bp-3	-0x1.1f430f35f48acp-15	-0x1.1f430f35f48acp-15	0x1.8100000000000p-59	2.60886147754324504e-18	0x1.90f3aa5cde735p-6	2.44721568774146254e-02	1.066053e-16	1.084202e-18
90	4	-0x1.bda33cdcbd3c0p-34	-0x1.a8d769e29302fp-8	-0x1.bda33cdde8f16p-34	-0x1.bda33cdde8f16p-34	-0x1.2bb5600000000p-66	-1.58664356727151889e-20	0x1.6c294ceadae05p-7	1.11133218358281469e-02	1.427695e-18	3.478987e-20
91	12	0x1.583344f92735bp-7	-0x1.09c4b2d55cafep+5	0x1.583344f927358p-7	0x1.583344f927358p-7	-0x1.8000000000000p-58	-5.20417042793042128e-18	0x1.3da8eabdac3f2p-5	3.87768349440945764e-02	1.342082e-16	1.734723e-18
92	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
93	6	-0x1.7c7dc6e77eafbp-21	-0x1.a269ad0bd6954p-13	-0x1.7c7dc6e77eac2p-21	-0x1.7c7dc6e77eac2p-21	0x1.c800000000000p-68	6.03510974918688992e-21	0x1.e9ea7bfe445bfp-15	5.84025328739345742e-05	1.033364e-16	4.235165e-22
