 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.493343087091183e-05  1.199898218788873e+00 -1.629162561117791e-04  5.024845745026361e-01  4.975613920563130e-01  1.200000000000000e+00 
 2.493443087091182e-05  1.200096050659198e+00  1.636649290971735e-04  5.024156281589243e-01  4.975386469722266e-01  1.200000000000000e+00 
 2.493543087091182e-05  1.199903101367218e+00 -1.612959411077568e-04  5.024840250588933e-01  4.975611845591890e-01  1.200000000000000e+00 
 2.493643087091182e-05  1.200091636512651e+00  1.618487824268744e-04  5.024162410788175e-01  4.975389044923021e-01  1.200000000000000e+00 
 2.493743087091182e-05  1.199907437747534e+00 -1.594651954413140e-04  5.024834115198076e-01  4.975609376245383e-01  1.200000000000000e+00 
 2.493843087091182e-05  1.200087707579806e+00  1.598523167655196e-04  5.024168737742348e-01  4.975391608918497e-01  1.200000000000000e+00 
 2.493943087091182e-05  1.199911304860384e+00 -1.574629291943542e-04  5.024827694206340e-01  4.975606802415632e-01  1.200000000000000e+00 
 2.494043087091182e-05  1.200084196188252e+00  1.577097905444714e-04  5.024175256885105e-01  4.975394210330275e-01  1.200000000000000e+00 
 2.494143087091182e-05  1.199914768329894e+00 -1.553223752932623e-04  5.024821103079717e-01  4.975604189579140e-01  1.200000000000000e+00 
 2.494243087091181e-05  1.200081044389727e+00  1.554505824252520e-04  5.024181905843006e-01  4.975396831069194e-01  1.200000000000000e+00 
 2.494343087091181e-05  1.199917884193226e+00 -1.530718977041003e-04  5.024814411015732e-01  4.975601567155454e-01  1.200000000000000e+00 
 2.494443087091181e-05  1.200078202551119e+00  1.530998409794202e-04  5.024188628472823e-01  4.975399450664933e-01  1.200000000000000e+00 
 2.494543087091181e-05  1.199920700344959e+00 -1.507356827796852e-04  5.024807669310346e-01  4.975598954502524e-01  1.200000000000000e+00 
 2.494643087091181e-05  1.200075628150607e+00  1.506790549348485e-04  5.024195380002010e-01  4.975402053071378e-01  1.200000000000000e+00 
 2.494743087091181e-05  1.199923257749420e+00 -1.483343316962428e-04  5.024800917636477e-01  4.975596365567572e-01  1.200000000000000e+00 
 2.494843087091181e-05  1.200073284748585e+00  1.482065515214046e-04  5.024202125381609e-01  4.975404626403438e-01  1.200000000000000e+00 
 2.494943087091181e-05  1.199925591468844e+00 -1.458853687125827e-04  5.024794186884570e-01  4.975593810479426e-01  1.200000000000000e+00 
 2.495043087091181e-05  1.200071141110474e+00  1.456979305202890e-04  5.024208837282090e-01  4.975407162038111e-01  1.200000000000000e+00 
 2.495143087091180e-05  1.199927731530726e+00 -1.434036775237421e-04  5.024787501101029e-01  4.975591296509090e-01  1.200000000000000e+00 
 2.495243087091180e-05  1.200069170458211e+00  1.431664413785229e-04  5.024215494446418e-01  4.975409653835818e-01  1.200000000000000e+00 
 2.495343087091180e-05  1.199929703663442e+00 -1.409018760663746e-04  5.024780878960022e-01  4.975588828769521e-01  1.200000000000000e+00 
 2.495443087091180e-05  1.200067349827533e+00  1.406233101882725e-04  5.024222080394685e-01  4.975412097536126e-01  1.200000000000000e+00 
 2.495543087091180e-05  1.199931529922087e+00 -1.383906385137644e-04  5.024774334903050e-01  4.975586410744892e-01  1.200000000000000e+00 
